"","Comp.1","Comp.2","diff_"
"pass.TotDist",-3.75386905186873,1.68333935462144,5.43720840649017
"pass.PrgDist",-3.77835836456126,1.58027622330366,5.35863458786492
"pass.Att",-3.3522270277376,1.96728595802938,5.31951298576697
"pass.med.Att",-3.91420617655477,1.39867303141463,5.3128792079694
"pass.med.Cmp",-3.97338560809242,1.24492624636483,5.21831185445725
"pass.Cmp",-3.47272837759983,1.73388776630808,5.20661614390791
"pass.Live",-3.43263654932371,1.72319296357183,5.15582951289553
"touches.Live",-3.13552369869445,1.97628805676643,5.11181175546088
"Touches",-3.13191525600762,1.97898583366641,5.11090108967403
"touches.Mid.3rd",-3.94336140557442,1.10819412346525,5.05155552903968
"pass.long.Cmp",-3.12789378882585,1.5724896691287,4.70038345795455
"touches.Att.Pen",4.24594366135934,-0.430031789844062,4.6759754512034
"carries.Mis",3.63067773195215,-0.854490937449732,4.48516866940188
"npxG",3.87577098552419,-0.575156137139779,4.45092712266397
"Off",3.08169983760845,-1.31619458198424,4.39789441959268
"PrgP",-2.32608001231385,2.05864131034556,4.38472132265941
"pass.long.Att",-2.67587482653822,1.64861331320777,4.32448813974599
"Rec",-1.95766737019891,2.25644956432383,4.21411693452275
"xG",3.80369330157582,-0.375061251061638,4.17875455263746
"pass.short.Cmp",-2.51085533329726,1.65811200245121,4.16896733574847
"Carries",-1.92335555997453,2.18464325633373,4.10799881630827
"pass.short.Att",-2.3837346385691,1.69241221695908,4.07614685552818
"SoT",3.80936239071368,-0.228900302484834,4.03826269319851
"aerials.Lost",1.13711003483658,-2.83036751040968,3.96747754524626
"touches.Def.3rd",-4.5205423981444,-0.554217166049663,3.96632523209474
"Sh",3.80597001392455,-0.155991559221928,3.96196157314647
"FK",-2.58477484272122,1.23009810396074,3.81487294668195
"PrgR",3.95624118502788,0.349608003740438,3.60663318128744
"Recov",-3.57874050275333,-0.0118665607002629,3.56687394205307
"G.PK",3.26293723461824,-0.291186890855379,3.55412412547362
"carries.CPA",3.57632778270512,0.0853632008422516,3.49096458186287
"Gls",3.28559575582767,-0.11116264899085,3.39675840481852
"npxG.Sh",1.31822574150338,-2.06318464730864,3.38141038881202
"take.ons.Tkld",3.35894017839756,-0.0179602226945608,3.37690040109212
"take.ons.Tkld.",0.925602834121152,-2.31718486714062,3.24278770126177
"SoT.",1.1431630168469,-2.05268679804215,3.19584981488905
"npxG.xAG",3.929423814831,0.743408312299467,3.18601550253153
"sca.TO",3.07996876984347,0.0326479858947921,3.04732078394868
"carries.Dis",2.68880129842564,-0.338261732789587,3.02706303121522
"sca.Sh",2.52817211266362,-0.42135224485187,2.94952435751549
"take.ons.Att",3.16622187579076,0.28965885708717,2.87656301870359
"G.A",3.42544888134247,0.688839538281659,2.73660934306081
"Tkl.Int",-3.76766272330928,-1.0877172075405,2.67994551576878
"sca.Fld",2.10023898529227,-0.529748869619138,2.62998785491141
"Sw",-1.67476430965521,0.905626789776586,2.58039109943179
"Int",-3.56824596202889,-1.10467923113897,2.46356673088992
"G.Sh",1.06017167484303,-1.39536361902912,2.45553529387215
"gca.TO",2.03239580416167,-0.415274293751323,2.44767009791299
"pass.short.Cmp.",-0.076803108708788,-2.49443277146972,2.41762966276093
"carries.TotDist",-0.318795398639102,2.09197128928373,2.41076668792283
"touches.Def.Pen",-3.90319917599219,-1.50688698477091,2.39631219122128
"challenges.Tkl",-3.22597138722183,-0.90798273529105,2.31798865193078
"carries.PrgDist",-0.262740455228358,2.035766919114,2.29850737434235
"gca.Sh",1.59053219520783,-0.684867808210641,2.27540000341847
"pass.Cmp.",-0.258554285815103,-2.50840970494782,2.24985541913272
"PKwon",1.47060272312577,-0.730510804917771,2.20111352804354
"pass.med.Cmp.",-0.338849703453119,-2.50930227410244,2.17045257064932
"G.SoT",0.840062675908476,-1.32665019155538,2.16671286746386
"take.ons.Succ",2.59791444226744,0.454479787447604,2.14343465481984
"Tkl",-3.2358623358624,-1.0967092676094,2.139153068253
"aerials.Won",-0.515831797857041,-2.59402251820839,2.07819072035135
"pass.Dead",-0.758685598848437,1.31465244714143,2.07333804598987
"pass.long.Cmp.",-0.404890163468969,-2.43885167529644,2.03396151182747
"challenges.Att",-2.72764904794959,-0.742747800111804,1.98490124783779
"tkl.Mid.3rd",-3.00396436842063,-1.03330150221463,1.97066286620599
"gca.Fld",1.39056371631304,-0.545188211069798,1.93575192738283
"PrgC",2.94748063690158,1.0336339310893,1.91384670581228
"carries.PrgC",2.94748063690158,1.0336339310893,1.91384670581228
"take.ons.Succ.",-0.375346606435863,-2.24497622457295,1.86962961813708
"TklW",-3.0019067679995,-1.13359240287286,1.86831436512665
"tkl.Def.3rd",-3.23243178291512,-1.37070567002111,1.86172611289401
"aerials.Won.",-0.777771069832592,-2.59574404561154,1.81797297577895
"Fld",1.22687413631948,-0.520864978953083,1.74773911527257
"X90s",-0.711752059157083,1.01295870278791,1.724710761945
"Dist",-0.453848583359015,-2.16961790265979,1.71576931930078
"challenges.Tkl.",-0.823702652037359,-2.33447691568853,1.51077426365117
"Fls",-0.81027290734468,-2.25867609696154,1.44840318961686
"blocks.Sh",-3.16139497213753,-1.82264736535975,1.33874760677778
"sca.PassDead",0.363097719360565,1.61084489446954,1.24774717510898
"GCA",2.52750246706091,1.28339241565933,1.24411005140158
"ck.Out",0.259529582780864,1.44793777327941,1.18840819049855
"touches.Att.3rd",2.95559871733145,1.77818794261592,1.17741077471553
"pass.Blocks",1.37276208489426,0.239262446088289,1.13349963880598
"PKatt",1.07934282725808,-0.038580153370581,1.11792298062866
"Clr",-3.14353833539488,-2.02737054264683,1.11616779274805
"A.xAG",0.239506204146884,-0.86810954531842,1.1076157494653
"CK",0.59002856383803,1.67786507890009,1.08783651506206
"Ast",2.11500128713969,1.11155264297022,1.00344864416947
"challenges.Lost",-1.61590998067283,-0.632889569575625,0.983020411097208
"PK",0.95681082817111,0.00449456848841702,0.952316259682693
"MP",-0.000894280288946132,0.836117718102232,0.837011998391179
"Err",-1.4224561165301,-0.645195953823515,0.777260162706583
"ck.In",0.614180805544822,1.38153065903474,0.767349853489916
"gca.Def",-0.043651047480318,-0.806051526998981,0.762400479518663
"xAG",2.53417237554851,1.87149898685162,0.662673388696891
"tkl.Att.3rd",0.421214644367099,-0.225798623233647,0.647013267600745
"Blocks",-2.29974901190606,-1.67335771793854,0.626391293967518
"gca.PassDead",0.469310155087784,1.06556457772496,0.596254422637173
"OG",-0.445788077594565,-1.03109771311408,0.585309635519515
"pass.Off",-0.135989003727359,0.441239319427357,0.577228323154717
"np.G.xG",0.313696846758498,-0.237029787399117,0.550726634157615
"sca.Def",-0.238010024717006,-0.779306359828788,0.541296335111782
"TB",0.686411244941673,1.21698691374571,0.530575668804039
"CrsPA",1.05559695215317,0.52522482059579,0.530372131557384
"gca.PassLive",1.72389256492568,1.21674108674445,0.507151478181231
"PKcon",-0.794450659225448,-1.28256004233645,0.488109383111001
"CrdR",-0.355469659673783,-0.835401925504214,0.47993226583043
"G.xG",0.303211638806644,-0.175083221940253,0.478294860746896
"X2CrdY",-0.228153325526802,-0.70248318572085,0.474329860194049
"sca.PassLive",1.68942413042919,2.10495106991396,0.415526939484771
"CrdY",-1.39378372045473,-1.71840964988451,0.324625929429778
"Starts",-0.500323411171619,-0.235146909618197,0.265176501553422
"KP",1.98239647100095,2.21149875987892,0.22910228887797
"TI",-0.503989955462197,-0.328062933443878,0.175927022018319
"blocks.Pass",-1.16166935156766,-1.33034120183348,0.168671850265821
"pass.PPA",1.81531751276988,1.97348427368573,0.158166760915847
"Crs",1.25541355700357,1.41131229318518,0.155898736181613
"SCA",2.39767593801783,2.25575644353021,0.141919494487622
"xA",2.16930358557413,2.11158140528798,0.0577221802861501
"ck.Str",0.0224392028304087,0.075698705827576,0.0532595029971672
